date,open,high,low,close,volume
2008-06-25,36.38136170522532,36.88965600935449,36.38136170522532,36.74343490600586,2000
2008-06-26,41.77764887797026,41.77764887797026,35.50403977350167,35.55278015136719,9800
2008-06-27,35.364775307582114,35.364775307582114,34.87736894313526,34.926109313964844,7700
2008-06-30,35.35086966812783,35.48316465787281,34.98879623413086,34.98879623413086,17100
2008-07-01,34.81471006697843,34.81471006697843,33.46390027259424,33.979156494140625,14900
2008-07-02,33.791149044836445,33.791149044836445,33.080928802490234,33.080928802490234,6700
2008-07-03,32.8790055487666,33.09485500208341,32.53085852739008,33.080928802490234,6000
2008-07-07,33.49870687000778,33.56833521192282,33.36640930175781,33.36640930175781,2600
2008-07-08,33.589232161550214,33.589232161550214,32.60745748131391,33.387306213378906,12200
2008-07-09,33.42211533945918,33.72152200186726,33.14359664916992,33.14359664916992,4100
2008-07-10,33.115744361026216,33.50566731009501,32.7954470949543,33.436038970947266,1100
2008-07-11,33.589229683704,33.853819538184254,33.296784770658334,33.603153228759766,4200
2008-07-14,34.09753291748575,34.31338245179252,33.85382831739001,34.278568267822266,22300
2008-07-15,33.98610164813449,33.98610164813449,32.98343686693712,33.68669509887695,12100
2008-07-16,33.71455767668544,34.466556549072266,33.71455767668544,34.466556549072266,4300
2008-07-17,35.155890197006194,35.21855677210839,34.515298245278046,34.53618621826172,4700
2008-07-18,34.38996885033653,34.38996885033653,34.181081129236475,34.24374771118164,4800
2008-07-21,34.640631345700825,34.91915004712171,34.480484022036734,34.90522384643555,17300
2008-07-22,35.14194564463139,36.06801493069924,34.04876469350892,34.257652282714844,9500
2008-07-23,34.54315314967986,34.564041124177066,34.20196784803431,34.229820251464844,5000
2008-07-24,33.79115684568785,33.79115684568785,32.48212565554469,32.697975158691406,6500
2008-07-25,32.91381971967405,33.080928802490234,32.59352509748389,33.080928802490234,2700
2008-07-28,32.55870695709184,33.09485366712303,32.55870695709184,32.872039794921875,18800
2008-07-29,33.115745674019124,33.78418731848344,33.04611467595973,33.644927978515625,19200
2008-07-30,34.20197546395438,34.45960626882763,34.125382665540826,34.42478942871094,3600
2008-07-31,34.4387105716151,34.53619133484906,33.0739745740365,34.076637268066406,3200
2008-08-01,34.29944860862521,34.29944860862521,33.4499715530878,33.47085952758789,4600
2008-08-04,33.3594513135422,33.3594513135422,32.79545211791992,32.79545211791992,3400
2008-08-05,32.586563123144025,32.86508182367607,32.55174894961531,32.63530349731445,1600
2008-08-06,32.523895259292786,33.02522783792038,32.523895259292786,32.990413665771484,4000
2008-08-07,33.171451524812575,33.171451524812575,32.865083067552845,32.97649002075195,6100
2008-08-08,32.64227681468606,32.64227681468606,32.28020346785694,32.40553665161133,4900
2008-08-11,32.489080340343165,32.489080340343165,31.918119430541996,31.918119430541992,2500
2008-08-12,31.827598632536954,32.41945013608333,31.827598632536954,32.11307907104492,2400
2008-08-13,32.10611860949436,32.27322769165039,31.897230928723836,32.27322769165039,3800
2008-08-14,32.328942596788394,32.34983057455035,32.19664764404297,32.19664764404297,1200
2008-08-15,32.96953071438612,33.04612350463867,32.844197540545885,33.04612350463867,4000
2008-08-18,33.28980479038786,33.33854513987856,32.621360778808594,32.621360778808594,2500
2008-08-19,32.7258224369983,32.8720435593469,32.670117634493394,32.865081787109375,1800
2008-08-20,33.00434249660724,33.87471015046131,33.00434249660724,33.74241256713867,5200
2008-08-21,34.36907579687686,34.61974208762038,34.36907579687686,34.60581588745117,12700
2008-08-22,34.793804312260065,34.9609133477487,34.67543297731791,34.94698715209961,6000
2008-08-25,34.84255467856966,34.912183020667804,34.29248174508096,34.35514831542969,4700
2008-08-26,34.45960120384494,34.45960120384494,34.013970683680064,34.076637268066406,4500
2008-08-27,34.40388368048226,34.953956533937266,34.40388368048226,34.807735443115234,6100
2008-08-28,36.98714177670893,36.98714177670893,34.87040973547964,35.14892578125,2400
2008-08-29,35.281212981090434,35.281212981090434,34.898251841887884,34.91217803955078,5300
2008-09-02,34.807739032595094,34.807739032595094,33.436038970947266,33.436038970947266,3500
2008-09-03,33.213227535667755,33.213227535667755,32.28715515136719,32.28715515136719,5700
2008-09-04,32.14093383137235,32.14093383137235,30.804050505800003,30.999011993408203,23700
2008-09-05,30.83188621701551,30.83188621701551,29.871002760147167,30.734405517578125,3900
2008-09-08,31.187007086114438,31.21485948197295,30.177380313524058,30.40019416809082,3600
2008-09-09,29.898866354744325,29.898866354744325,27.615022659301758,27.615022659301758,19100
2008-09-10,27.482730326666854,27.977098524469376,27.134583259569077,27.79606056213379,12700
2008-09-11,27.454880416696312,27.782139539451425,26.702881408531777,27.489694595336914,17000
2008-09-12,27.935318032182487,28.951909418076227,27.935318032182487,28.78479766845703,5500
2008-09-15,28.868356815718425,28.868356815718425,26.80732662682103,27.301694869995117,5100
2008-09-16,27.782134303593686,27.782134303593686,26.319915170896028,26.807321548461914,5100
2008-09-17,28.436649769601487,30.755307628828337,26.05532268202008,26.807321548461914,7800
2008-09-18,27.503611807841352,27.503611807841352,25.881245583211285,27.37131690979004,4900
2008-09-19,30.281831819419565,30.978125924977466,28.937983983200724,30.01027488708496,36200
2008-09-22,30.83886576324697,30.83886576324697,29.160797119140625,29.160797119140625,14600
2008-09-23,28.965832952931603,29.15383267513503,28.03279877022822,28.22079849243164,14800
2008-09-24,28.875307165114602,29.26523002598098,28.875307165114602,28.93100929260254,2900
2008-09-25,29.272202809032905,29.57160946619124,29.209536237624157,29.47412872314453,5100
2008-09-26,29.432345355985913,29.432345355985913,27.816943617060527,28.12331199645996,8300
2008-09-29,29.940648396809898,29.940648396809898,24.502590138756204,24.544368743896484,7500
2008-09-30,24.77413965999892,25.42169058053637,24.74628726492295,25.400802612304688,8600
2008-10-01,26.668061387002822,26.668061387002822,25.470437436022028,25.867324829101562,4300
2008-10-02,26.05532086560235,26.05532086560235,23.437256527935517,23.611330032348633,13800
2008-10-03,23.938589657396726,24.84377137130257,23.26318359375,23.26318359375,6600
2008-10-06,22.288375232892303,22.288375232892303,19.40571911957865,20.756528854370117,15200
2008-10-07,19.920976047807343,20.26216002178965,18.507498445815756,18.542312622070312,10000
2008-10-08,23.395480725298338,23.395480725298338,16.620540771073593,18.075794219970703,43200
2008-10-09,18.10364313019311,18.333420086030237,16.641425534831672,16.91994285583496,14400
2008-10-10,17.05920211387117,17.922606469653157,15.144393713334608,16.77372169494629,25800
2008-10-13,19.739938094281914,20.80526722236856,18.11060978630464,19.684234619140625,27800
2008-10-14,19.670303429387527,23.311920347311297,19.572822704633055,19.886154174804688,17900
2008-10-15,20.088087980582593,20.088087980582593,16.919948566645196,17.038318634033203,17400
2008-10-16,17.539645524294695,17.985273241333505,16.376834538080608,17.602312088012695,12800
2008-10-17,17.992238998413086,18.34038603580022,17.797276179369092,17.992238998413086,5500
2008-10-20,18.681569454314083,18.792976396938336,18.103645441422465,18.77208709716797,11400
2008-10-21,19.308236431298752,19.308236431298752,18.04098129272461,18.04098129272461,9400
2008-10-22,17.414316481397915,17.734611146126042,15.395063754854565,15.771061897277832,14000
2008-10-23,21.501563707713505,21.501563707713505,13.96766088781692,14.371511459350586,11800
2008-10-24,13.925876765371141,13.925876765371141,12.533289088834028,13.605582237243652,13700
2008-10-27,13.960692516928365,13.960692516928365,12.400994300842285,12.400994300842285,8900
2008-10-28,12.888402615379027,12.909291914322514,11.836998473915155,12.895365715026855,6300
2008-10-29,13.146033862904455,14.267067945732194,13.146033862904455,13.744847297668457,13200
2008-10-30,14.12780623162974,16.23757625156216,14.12780623162974,15.165284156799316,16000
2008-10-31,14.851955071620955,15.395065019831389,14.622178041238804,15.311509132385254,3900
2008-11-03,15.910317414096166,17.107942559419566,15.910317414096166,17.059202194213867,13100
2008-11-04,19.1411253863006,19.844382613735387,18.584090616092674,19.294309616088867,35000
2008-11-05,21.05593332115524,21.05593332115524,16.683205916537023,16.815502166748047,30400
2008-11-06,16.39772144411269,16.39772144411269,14.80320904241735,14.977282524108887,40800
2008-11-07,15.241874210539935,15.993871626871739,15.241874210539935,15.757131576538086,221900
2008-11-10,18.598017966066937,18.598017966066937,15.262769345136133,15.50647258758545,233400
2008-11-11,15.158327246360416,15.158327246360416,14.218329674714445,14.468996047973633,467200
2008-11-12,14.072106669762807,14.072106669762807,12.240853309631348,12.240853309631348,375500
2008-11-13,12.289595401371281,13.870183944702148,12.254781213998369,13.870183944702148,63100
2008-11-14,14.274029007141825,14.274029007141825,12.909293212715772,13.243514060974121,51000
2008-11-17,13.048554419051989,13.320108758506555,12.735222795391165,12.95107364654541,25900
2008-11-18,12.742180401202708,13.090327421214536,11.997145990869473,12.38707160949707,15200
2008-11-19,12.213000705278528,12.394036025604267,11.057151794433594,11.057151794433594,10400
2008-11-20,10.764705733399213,10.764705733399213,9.413895606994629,9.413895606994629,28500
2008-11-21,9.9500452591006,10.06145223792842,9.594935016058452,10.054489135742188,21100
