Ticker,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
A,,-0.2918349757849569,-0.4792694035811911,-0.3700455645256918,0.6280625427986108,-0.1757866199430479,0.3813274722820006,0.11105913173652704,0.054232358674463965,-0.5745781908450828,0.9878448493263756,0.333440000808509,-0.15689098835016646,0.18377878253220947,0.411315787244694,0.00782857919813984,0.03464920089193391,0.10162695857820947,0.4831795738958704,0.016653247501694057,0.2753962090885027,0.3979089849663504,0.3550961725907027,-0.05522687303293672,-0.06421510371650818,-0.02702936424219049,0.01920988935847867,0.07919793408563547
AAPL,,-0.7106383727831873,0.4722677537020712,-0.3456611323228379,0.4912755716631829,2.0135716799390124,1.2326090690856106,0.18013632477051167,1.3347470411737636,-0.5691134263857136,1.4690097858431734,0.5306789467466024,0.2555804839063003,0.3256691792311277,0.08069502912667903,0.4062253299615075,-0.030137185698752456,0.12480382100166021,0.48464360590003475,-0.053901992642500285,0.889578672385342,0.8230669755954263,0.34648209373074934,-0.26404190002519123,0.49008029991693514,0.3070525038432499,0.09052612885390965,0.15468306261912668
ABBV,,,,,,,,,,,,,,,,0.2791834671697906,-0.06500762595529941,0.0979196775256399,0.6007499359174955,-0.009565238942818022,0.014681734851569317,0.2771827399653901,0.3242602583834313,0.24007691921809937,-0.0023483178066113775,0.1885903862462508,0.33077835734961036,0.10226786750426697
ABNB,,,,,,,,,,,,,,,,,,,,,,,0.13412807923760117,-0.48645565992542084,0.5922806946157713,-0.03474361501942769,0.03279809328425198,0.3120395352387857
ABT,,0.35842897290552655,0.1707817859515448,-0.26733703358152916,0.19272184250359503,0.1780309885077045,-0.1348312750362055,0.26863896853027236,0.18043240799475213,-0.024854592435018974,0.04579023680571814,-0.08268855862376268,0.2177626027095625,0.20295099212222145,0.23956588486714847,0.20083715396529755,0.018717787005233966,-0.12320642844123564,0.520281533727663,0.29061854919617147,0.2208022517250381,0.2804070328571149,0.30528272143688695,-0.20681856542495158,0.02260620137961178,0.04812596479760867,0.1286716388539071,-0.12352482296821188
ACGL,,0.18811881895992166,0.7166661351196522,0.210485409292837,0.2787938327706996,-0.029101802129439358,0.4147284963945643,0.23488587699885577,0.04052664249024729,-0.00355366952592695,0.02068471290113716,0.23060788063571946,0.26848389474084544,0.18237983416517967,0.3559746080567303,-0.009884389928481396,0.18020296841639905,0.23713261239337147,0.05191792330259393,-0.11688881817518881,0.6051647031922405,-0.1590114795303953,0.2323261285162368,0.4123733456460361,0.18302006407052773,0.3076433703140029,0.038657279413216505,0.026688962018945217
ACN,,,,-0.3317238361966981,0.4630349266897127,0.02583625574809756,0.08220412341444039,0.2933819511501887,-0.014089940655200417,-0.07544277248133846,0.2901761030949921,0.19040325686499915,0.1199283169064842,0.27749174861646564,0.26623804523785677,0.11421073032731677,0.19530240022698853,0.14351725673289528,0.33335902692026487,-0.06228688486588496,0.5121361433743004,0.2604037932494343,0.6066537352959998,-0.34753250563920113,0.3359509042614033,0.018623545331380553,-0.2264403284420483,-0.3315655049768712
ADBE,,0.7315479375377689,-0.46541131122446056,-0.2001150630662123,0.5783059427197437,0.6077087985786507,0.1784268116479215,0.1125541112137034,0.03915371235827436,-0.5017551803509075,0.7275714982460277,-0.16313209058692824,-0.08154646435634572,0.33286168005094185,0.5891719899983661,0.21409478375833424,0.29215964765838454,0.09591222346897199,0.7021856307704941,0.2910294362093562,0.4577881433465536,0.5163882199427161,0.13384788269807313,-0.4065354632169702,0.7727987928267868,-0.2546429586440251,-0.21293965098727807,-0.2422354957138143
ADI,,0.10080649151252352,-0.13279605033646535,-0.46226676059974925,0.9140126929160373,-0.18689690779142076,-0.01891392011437587,-0.06651944628233752,-0.01514136556670842,-0.3805818701693917,0.7164557424014328,0.22697992862107808,-0.024134339672579275,0.21264262594572436,0.2469747613781237,0.12149733081207503,0.023858545460304414,0.3495851856960912,0.2530130638595114,-0.01639106470843743,0.4130947036732626,0.26873232953462534,0.20964039993959283,-0.04912304479028773,0.23356265620248617,0.08815528872761225,0.29752634524776567,0.44624745210500727
ADM,,0.32352230751838107,0.019024379390776724,-0.12123904030152466,0.25111725616176384,0.4913517679097019,0.1226042815475461,0.3100141270169694,0.47180562043375485,-0.36894176206273666,0.10810329422065923,-0.01931361821991795,-0.029071179349989262,-0.018351616826567274,0.6189752952278578,0.22327624513920719,-0.2770026563359006,0.2839030318104696,-0.09475500705666728,0.05275883674058002,0.17102601553902308,0.1244087080550611,0.373255093830942,0.399798191354092,-0.20418097052068274,-0.2752285335125201,0.18236846339091528,0.3511228138627449
