tickers
NVDA
AAPL
GOOGL
GOOG
MSFT
AMZN
AVGO
META
TSLA
MU
LLY
BRKb
JPM
WMT
AMD
V
JNJ
INTC
XOM
AMAT
MA
LRCX
CSCO
ABBV
CAT
BAC
ORCL
COST
UNH
GE
KO
MS
CVX
PG
HD
NFLX
KLAC
GS
MRK
PLTR
DELL
GEV
PM
TXN
IBM
SNDK
WFC
RTX
PANW
LIN
C
AXP
ANET
MRVL
STX
WDC
QCOM
APH
AMGN
MCD
TMO
ADI
TMUS
CRWD
PEP
NEE
SCHW
VZ
BA
APP
UNP
GILD
DIS
TJX
BLK
GLW
ABT
WELL
IBKR
DE
ETN
UBER
ISRG
T
BX
DHR
PFE
CB
PGR
BKNG
CRM
PLD
COP
CVS
SPGI
VRTX
SYK
VRT
COF
PH
MO
LMT
LOW
BMY
SBUX
FTNT
NOW
HWM
SO
MDT
BNY
TT
CDNS
EQIX
GD
NEM
HOOD
PNC
PWR
MAR
DUK
USB
ADP
UPS
WM
CMI
MCK
MNST
WMB
DDOG
ELV
CSX
HCA
CEG
FCX
KKR
CME
MRSH
JCI
ADBE
ACN
MCO
ABNB
VLO
MPC
CMCSA
SNPS
SHW
DASH
MMM
RCL
CI
EMR
AEP
AMT
HLT
ECL
ICE
ITW
PSX
AON
MDLZ
NOC
FDX
NXPI
CVNA
CL
NSC
TDG
KMI
TRV
CTAS
INTU
SPG
EOG
SLB
HON
ROST
ORLY
CRH
REGN
MSI
GM
APO
MPWR
URI
RSG
BSX
APD
AJG
CIEN
WBD
HPE
PCAR
GWW
DLR
COHR
ALL
TFC
NKE
FIX
AFL
SRE
D
TGT
TER
O
COR
LITE
MET
TRGP
DAL
TEL
BKR
OKE
CARR
CTVA
PSA
KEYS
CAH
F
LHX
AME
VST
FAST
EW
ETR
OXY
ROK
FANG
EA
FITB
EBAY
FLEX
NUE
STT
XEL
AZO
DVN
EXC
MCHP
HUM
NDAQ
GRMN
AXON
TTWO
XYZ
ODFL
AMP
YUM
VTR
CMG
WAB
MSCI
IDXX
LYV
DHI
ADSK
KDP
AIG
BDX
UAL
CBRE
COIN
ED
ARES
PEG
PRU
SYY
PYPL
ON
ADM
HIG
PCG
A
VMC
WEC
PAYX
WAT
KVUE
KMB
KR
CCL
TKO
ACGL
IRM
HBAN
ROP
IQV
MTB
JBL
HSY
EME
MLM
NTRS
CCI
CNC
STLD
RJF
WDAY
NTAP
ZTS
EQT
EXPE
CASY
DTE
AEE
VEEV
LVS
RMD
IR
EXR
FICO
EL
NRG
CFG
GEHC
KHC
BIIB
MRNA
TDY
ATO
EIX
HAL
DOV
DXCM
CNP
VICI
TPR
XYL
CINF
CBOE
ECHO
ES
OTIS
FE
WTW
TPL
AVB
PPL
WRB
FISV
CPRT
JBHT
RF
MTD
WSM
PPG
HUBB
DG
EQR
AWK
TROW
WST
KEY
FSLR
VRSK
VRSN
SYF
LUV
PFG
L
DLTR
FFIV
PHM
INCY
CMS
DRI
RL
OMC
DGX
BRO
CPAY
LH
CHD
VLTO
STZ
SW
CHRW
NI
EXPD
HPQ
BG
ROL
FIS
EXE
FOXA
FOX
STE
SNA
DOW
GPN
TSN
LEN
IFF
PKG
EVRG
EFX
AMCR
LNT
IP
CTSH
ULTA
VTRS
SBAC
GIS
ESS
LII
FTV
SMCI
AKAM
DD
LYB
CF
BEN
NVR
INVH
CDW
ZBH
GPC
BR
BBY
KIM
IEX
BALL
WY
CHTR
NDSN
MAA
TXT
HST
MAS
GEN
NWSA
NWS
TSCO
ALB
DOC
J
DVA
EG
REG
DECK
GL
GNRC
PTC
MKC
AIZ
COO
SWK
LDOS
HRL
SOLV
ERIE
TYL
PNW
UDR
LULU
IVZ
APTV
RVTY
ZBRA
ALGN
APA
AVY
TRMB
PNR
MGM
SJM
CSGP
BFb
GDDY
ALLE
BAX
CPT
HII
CLX
CRL
TECH
HAS
PODD
BXP
AES
FRT
PSKY
JKHY
WYNN
DPZ
HSIC
UHS
NCLH
SWKS
IT
TTD
FDS
ARE
AOS
BLDR
TAP
MOS
