date,close,sma200,rv_term_structure,regime_raw,confidence,regime,guardrail,w,strat_ret,bh_ret,strat_equity,bh_equity
2011-10-31,115.75121543190384,117.1200141551189,-0.0911897138273673,S3_stress,1.0,S3_stress,False,,,,1.0,1.0
2011-11-01,112.02756619689588,117.09356917493682,0.05854743140860953,S3_stress,1.0,S3_stress,True,0.0,-2.063492063492064e-05,-0.032169418015300044,0.9999793650793651,0.9678305819847
2011-11-02,113.75784434274084,117.08195459168194,0.08387420196845587,S3_stress,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.015445110561483455,1.000058728521038,0.9827788323282385
2011-11-03,115.86946988002175,117.08187531203947,0.13287947102689657,S3_stress,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.018562460896488275,1.000138098261397,1.0010216259732279
2011-11-04,115.22971893388572,117.07861962472688,0.1445318879420955,S3_stress,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.005521307267552622,1.0002174743009415,0.9954946779947645
2011-11-07,115.98648730717044,117.07596303157429,0.09712441068730082,S3_stress,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.0065674756502609455,1.0002968566401718,1.0020325650524595
2011-11-08,117.17292824154272,117.07774354251929,0.05313496952113694,S3_stress,1.0,S3_stress,False,0.0,7.936507936507937e-05,0.010229130667869901,1.0003762452795877,1.012282487093842
2011-11-09,112.33339975242538,117.04893132093366,0.1759550344278083,S3_stress,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.041302445554155964,1.0004556402196894,0.970472744785223
2011-11-10,113.25621737478372,117.02541930073359,-0.013336763565169055,S3_stress,1.0,S3_stress,False,0.0,7.936507936507937e-05,0.008214988813586732,1.0005350414609766,0.9784451675275244
2011-11-11,116.18669992795547,117.0282824135364,0.10688049580826901,S3_stress,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.025874805119742827,1.0006144490039497,1.0037622455576531
2011-11-14,114.9622848757802,117.01822344775908,0.043674124978340924,S3_stress,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.010538340902482846,1.0006938628491089,0.9931842568289249
2011-11-15,115.7670106561626,117.00301835998148,-0.10324714957900265,S3_stress,1.0,S3_stress,False,0.0,7.936507936507937e-05,0.006999911155662231,1.000773282996954,1.0001364583879297
2011-11-16,113.89485099250798,116.97808232351886,-0.07453271713993084,S3_stress,1.0,S3_stress,False,0.0,7.936507936507937e-05,-0.016171788949574606,1.0008527094479855,0.9839624626621052
2011-11-17,111.64974206426469,116.93749596786243,-0.0895441682104785,S3_stress,1.0,S3_stress,False,0.0,7.936507936507937e-05,-0.019712119632089298,1.0009321422027038,0.9645664768846246
2011-11-18,111.6631046088206,116.89717488381464,-0.08516623547295477,S3_stress,1.0,S3_stress,False,0.0,7.936507936507937e-05,0.00011968271765661065,1.0010115812616087,0.9646819188219387
2011-11-21,109.2788581728468,116.84232847671552,-0.06516005747700702,S3_stress,1.0,S3_stress,False,0.0,7.936507936507937e-05,-0.021352141733174346,1.0010910266252009,0.9440838937638221
2011-11-22,109.04366688047932,116.7841382173559,-0.08635892394472511,S3_stress,1.0,S3_stress,False,0.0,7.936507936507937e-05,-0.0021522122055436244,1.0011704782939808,0.9420520248846064
2011-11-23,106.42687092872,116.71520793560673,-0.2710502261784658,S3_stress,1.0,S3_stress,False,0.0,7.936507936507937e-05,-0.02399768850975581,1.0012499362684486,0.9194449538314409
2011-11-25,106.01306762756994,116.64603861434904,-0.3148635517859579,S3_stress,1.0,S3_stress,False,0.0,7.936507936507937e-05,-0.003888146833023187,1.001329400549105,0.915870016846062
2011-11-28,109.07917771506176,116.58977250649873,-0.28293943520452747,S3_stress,1.0,S3_stress,False,0.0,7.936507936507937e-05,0.02892200137310663,1.0014088711364502,0.9423588107308709
2011-11-29,109.1939960165043,116.53137582233441,-0.26378369516978944,S3_stress,1.0,S3_stress,False,0.0,7.936507936507937e-05,0.00105261429218384,1.0014883480309849,0.9433507510834116
2011-11-30,114.7495868069945,116.50310904035184,0.07520690189812522,S3_stress,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.0508781708991628,1.0015678312332095,0.991346711814887
2011-12-01,114.54658510649656,116.46707390258955,0.06589905578734268,S3_stress,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.001769084370119578,1.001647320743625,0.9895929358416459
2011-12-02,114.5644548003838,116.42992771794565,0.01817118812071044,S3_stress,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.0001560037243417689,1.0017268165627315,0.9897473160252195
2011-12-05,115.7370993514918,116.39611089830521,0.036365056925943266,S3_stress,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.010235675220130025,1.0018063186910302,0.999878048102049
2011-12-06,115.6129100762419,116.37511476628477,-0.045420465785158855,S3_stress,1.0,S3_stress,False,0.0,7.936507936507937e-05,-0.0010730290973747225,1.0018858271290216,0.9988051498626093
2011-12-07,115.8768012630399,116.35971133268725,-0.05094626238829381,S3_stress,1.0,S3_stress,False,0.0,7.936507936507937e-05,0.0022825408219893095,1.0019653418772065,1.0010849633903838
2011-12-08,112.95861185852976,116.33030727851786,-0.049100081685060984,S3_stress,1.0,S3_stress,False,0.0,7.936507936507937e-05,-0.025183551605690746,1.0020448629360856,0.975874088553161
