ticker,name,style,bars,start,end,calm_vol,stress_vol,vol_ratio,stress_pct,bh_sharpe,ov_sharpe,d_sharpe,bh_dd,ov_dd,dd_cut,bh_cagr,ov_cagr
esg_index,Score-constructed top-40 ESG basket,constructed,3694,2011-10-31,2026-07-13,0.11729081416122965,0.23443152054001345,1.9987202085387565,0.3502977801840823,0.784775189303921,0.27851318792464075,-0.5062620013792802,-0.37227099822402987,-0.17379647287943922,0.5331452793568145,0.15185674791039916,0.040659481596230895
SUSA,iShares MSCI USA ESG Select,broad ESG,5085,2006-04-25,2026-07-13,0.1152268554750132,0.3116118380133091,2.704333436235112,0.19075712881022616,0.5224072732250076,0.6493553940148984,0.12694812078989082,-0.5393396148431875,-0.18236945585841158,0.6618652684886954,0.10525784872959454,0.08393466257041804
DSI,iShares MSCI KLD 400 Social,values-screened,4630,2008-02-15,2026-07-14,0.13833884602709595,0.31892804433559724,2.3054120624450625,0.22829373650107992,0.5600872726957322,0.5597040373559721,-0.00038323533976014623,-0.49907394513569836,-0.2784716716995126,0.44202322238281533,0.1175385446205286,0.07601182241822446
ERTH,Invesco MSCI Sustainable Future,environmental,4654,2008-01-22,2026-07-22,0.17708932576097472,0.38208609122315634,2.1575896208384395,0.23270305113880532,0.2098388601870043,0.11510146890093342,-0.09473739128607087,-0.6415868415899197,-0.42768240139338576,0.33339904488448713,0.041584206738221496,0.026619071704047315
ICLN,iShares Global Clean Energy,clean-energy thematic,4235,2009-09-18,2026-07-22,0.19675385299829423,0.3313706220627786,1.6841887313162374,0.4576151121605667,0.08027871346124499,0.11903565765841025,0.03875694419716526,-0.7249152704705287,-0.3349823132685884,0.537901425291872,0.004652856375831238,0.02739262051138991
CRBN,iShares MSCI ACWI Low Carbon,low carbon (global),2607,2016-03-09,2026-07-22,0.11008813063903075,0.25428580245002735,2.3098384991549,0.23782125047947833,0.6863514068456685,0.6395515962107365,-0.04679981063493199,-0.33127964620190375,-0.14698497654678355,0.5563114781365072,0.1287279400595367,0.07455048385782415
SPYX,SPDR S&P 500 Fossil Fuel Free,fossil-fuel free,2363,2017-02-27,2026-07-22,0.11232792634878871,0.30471192750562365,2.7126996590274857,0.20990266610241218,0.7372658765958793,0.8750978263892127,0.13783194979333346,-0.32840150362861176,-0.18296422466015527,0.44286422979637463,0.14888849356715061,0.10203153467352255
ESGU,iShares ESG Aware MSCI USA,broad ESG,2107,2018-03-05,2026-07-22,0.12070509139499498,0.3408804091545673,2.824076476103823,0.19079259610821073,0.6878457629203589,0.9189067634554723,0.23106100053511336,-0.3387140500996292,-0.14324566193668753,0.5770896958819591,0.14481577134902657,0.11553740860090111
ESGD,iShares ESG Aware MSCI EAFE,international ESG,2178,2017-11-17,2026-07-22,0.13493035579827165,0.28544011430376787,2.1154625481794227,0.17768595041322313,0.42198252217263393,0.19633153111831983,-0.2256509910543141,-0.3369720873786405,-0.23131142567180862,0.313559091878449,0.0827211915006274,0.03675770545551971
NULV,Nuveen ESG Large-Cap Value,ESG value,2084,2018-04-06,2026-07-22,0.1115331804983627,0.3248120178764293,2.912245633318038,0.15259117082533588,0.5266748599015291,0.600048417403679,0.07337355750214991,-0.3699370616914175,-0.09324472355301461,0.7479443580843637,0.10222337524574598,0.07825063212080718
ESGV,Vanguard ESG US Stock,broad ESG,1657,2019-12-16,2026-07-22,0.13020079366438062,0.37981959961497525,2.9171834435513393,0.1707905853952927,0.6846985747120247,0.8578749120856343,0.1731763373736096,-0.3366015301685663,-0.13617200198120738,0.5954504368622033,0.1534742654754515,0.1163626732826224
SUSL,iShares ESG MSCI USA Leaders,ESG leaders,1498,2020-08-04,2026-07-22,0.1225373609525341,0.22697439989898582,1.85228731983959,0.35580774365821094,0.8657815409796987,0.9010018772512102,0.03522033627151144,-0.2698188426715863,-0.08308305769891444,0.6920783705234399,0.16685900797077924,0.09965682384765673
