ticker,shared_days,exact_match,stress_both
CRBN,2600,0.6742307692307692,0.7691197691197691
SPYX,2356,0.634974533106961,0.6496913580246914
ESGV,1650,0.6006060606060606,0.5823170731707317
ESGU,2100,0.5676190476190476,0.5031746031746032
NULV,2077,0.5541646605681271,0.44810543657331137
ESGD,2171,0.5426070935052971,0.4660493827160494
SUSA,3694,0.5311315646995127,0.3083462132921175
DSI,3694,0.513264753654575,0.4273570324574961
SUSL,1491,0.5016767270288397,0.7768595041322314
ERTH,3694,0.48619382782891174,0.4312210200927357
ICLN,3694,0.4296155928532756,0.5842349304482226
