date,close,sma200,rv_term_structure,regime_raw,confidence,regime,guardrail,w,strat_ret,bh_ret,strat_equity,bh_equity
2008-02-15,18.37078285217285,20.289199228286744,-0.022393073291696007,S1_calm,1.0,S1_calm,False,,,,1.0,1.0
2008-02-19,18.68524932861328,20.2791605091095,0.06581974206599109,S1_calm,1.0,S3_stress,True,1.0,0.017117750450315494,0.017117750450315494,1.0171177504503155,1.0171177504503155
2008-02-20,18.576536178588867,20.268443431854248,-0.050514860647205534,S1_calm,1.0,S1_calm,False,0.0,-2.063492063492064e-05,-0.005818126807542123,1.0170967623062586,1.0112000303999935
2008-02-21,18.33194923400879,20.256253204345704,-0.08053302288093146,S1_calm,1.0,S1_calm,False,1.0,-0.01326644514503118,-0.01316644514503118,1.0036035039019338,0.9978861206690781
2008-02-22,18.28148651123047,20.24396463394165,-0.07828268938910385,S1_calm,1.0,S1_calm,False,1.0,-0.002752719971791273,-0.002752719971791273,1.0008408644929832,0.9951392196151391
2008-02-25,18.751230239868164,20.233562841415406,0.07621593776838075,S1_calm,1.0,S3_stress,True,1.0,0.025695051020557136,0.025695051020557136,1.0265575215695888,1.0207093726357075
2008-02-26,18.871583938598633,20.22522576332092,0.07448987431457524,S1_calm,1.0,S3_stress,True,0.0,-2.063492063492064e-05,0.006418442800333102,1.026536338636604,1.0272607373597336
2008-02-27,18.840524673461914,20.215982646942138,0.14736254842516866,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.0016458218471631092,1.026617809774591,1.025570049195454
2008-02-28,18.693004608154297,20.206175174713135,0.04475500166533106,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.007829934031264418,1.0266992873785414,1.017539903365813
2008-02-29,18.188304901123047,20.19411371231079,0.15253130480726476,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.026999389215957792,1.0267807714489683,0.9900669474720714
2008-03-03,18.106782913208008,20.180778408050536,0.13256012886485086,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.004482110254815708,1.026862261986385,0.9856293582538527
2008-03-04,18.1611385345459,20.167714881896973,0.04724542121041646,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.0030019480323166814,1.0269437589913046,0.9885881663664564
2008-03-05,18.180557250976562,20.154498224258422,0.047453371306044385,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.0010692455428236158,1.0270252624642404,0.989645209857032
2008-03-06,17.811729431152344,20.1392063999176,0.10536218051606443,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.020286937013683004,1.027106772405706,0.9695683398187692
2008-03-07,17.78067398071289,20.123489818573,0.10711962314778956,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.0017435393098402807,1.0271882888162143,0.9678778593047186
2008-03-10,17.520572662353516,20.106549758911132,-0.16762361103562576,S1_calm,1.0,S1_calm,False,0.0,7.936507936507937e-05,-0.014628316038048594,1.027269811696279,0.9537194360925793
2008-03-11,17.986433029174805,20.092843685150147,0.0935885649865384,S1_calm,1.0,S3_stress,True,1.0,0.02648933448118872,0.02658933448118872,1.0544815053407295,0.9790782011800555
2008-03-12,17.963134765625,20.078751649856567,0.09424740735066604,S1_calm,1.0,S3_stress,True,0.0,-2.063492063492064e-05,-0.0012953242875901605,1.0544597461985559,0.9778099774066169
2008-03-13,18.114545822143555,20.065358924865723,0.12372377786849349,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.00842898850863727,1.0545434334800003,0.9860519264698081
2008-03-14,17.714679718017578,20.049177618026732,0.058475618909363695,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.022074310228477945,1.0546271274032926,0.9642855103435253
2008-03-17,17.578792572021484,20.032124404907226,0.06370868236285207,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.007670877947507204,1.0547108279689594,0.9568885938871304
2008-03-18,18.13783836364746,20.017673950195313,0.2384260710772626,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.031802286154497095,1.0547945351775285,0.9873198387679033
2008-03-19,18.08738136291504,20.002759437561036,0.24067204491158323,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.002781864063445938,1.0548782490295268,0.9845732491893077
2008-03-20,18.184429168701172,19.988888397216797,0.17106005600964524,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.005365497848412337,1.0549619695254815,0.9898559748394372
2008-03-24,18.71629524230957,19.978331155776978,0.2411871465436324,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.029248433848219957,1.05504569666592,1.0188077118387937
2008-03-25,18.78834342956543,19.969712591171266,0.16949683033109691,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.003849489780060056,1.0551294304513699,1.0227296017133636
2008-03-26,18.515714645385742,19.958787660598755,0.15258061498966408,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.014510528041055348,1.0552131708823582,1.0078892551492844
2008-03-27,18.453405380249023,19.947377948760987,0.15705615575684717,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.0033652098409415743,1.0552969179594125,1.0044974963092768
2008-03-28,18.418346405029297,19.936331901550293,0.15468994253663193,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.0018998647944541425,1.05538067168306,1.0025890868799214
2008-03-31,18.19245147705078,19.924233407974242,0.09049161936560071,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,-0.012264669314550058,1.0554644320538287,0.9902926632709625
2008-04-01,18.73771095275879,19.91368700027466,0.15016700468803024,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.029971742752527675,1.0555481990722457,1.0199734602242354
2008-04-02,18.846763610839844,19.90276186943054,0.02038797560431031,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.005819956255916026,1.0556319727388388,1.0259096611449359
2008-04-03,18.86235237121582,19.892164916992186,0.012665555947261218,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.000827131952088056,1.0557157530541357,1.0267582238056248
2008-04-04,18.963607788085938,19.882440032958986,0.019433574218289295,S1_calm,1.0,S3_stress,True,0.0,7.936507936507937e-05,0.005368122431252731,1.0557995400186637,1.032269987658309
2008-04-07,18.881824493408203,19.872517919540407,-0.176095321372217,S1_calm,1.0,S1_calm,False,0.0,7.936507936507937e-05,-0.004312644281174949,1.055883333632951,1.027818174399406
2008-04-08,18.78834342956543,19.862667417526247,-0.16239936224735468,S1_calm,1.0,S1_calm,False,1.0,-0.005050849102289268,-0.0049508491022892676,1.0505502262451487,1.022729601713364
2008-04-09,18.578031539916992,19.852650804519655,-0.18132636248717698,S1_calm,1.0,S1_calm,False,1.0,-0.01119374310124066,-0.01119374310124066,1.0387906368976103,1.0112814292897505
