date,close,sma200,rv_term_structure,regime_raw,confidence,regime,guardrail,w,strat_ret,bh_ret,strat_equity,bh_equity
2006-04-25,20.53074073791504,19.64817491531372,0.2085906901194272,neutral,1.0,neutral,False,,,,1.0,1.0
2006-04-26,20.5791015625,19.65551198005676,0.1349716292146114,neutral,1.0,neutral,False,0.6,0.0014050654594951,0.0023555323795818,1.0014050654594953,1.002355532379582
2006-04-27,20.679548263549805,19.662927436828618,0.1479916862194842,neutral,1.0,neutral,False,0.6,0.0029603491316842,0.0048810051665637,1.0043695740754923,1.0072480349118604
2006-04-28,20.5642147064209,19.669710969924928,0.2092126606744924,neutral,1.0,neutral,False,0.6,-0.0033145617983586,-0.0055771797168411,1.0010405290538282,1.001630431601722
2006-05-01,20.478656768798828,19.675827159881592,0.2281150825015968,neutral,0.997,neutral,False,0.6,-0.0024645692083984,-0.0041605254002408,0.9985733953895632,0.9974631227493888
2006-05-02,20.55306625366211,19.682131147384645,-0.3752516988809519,neutral,1.0,neutral,False,0.6,0.0022118543963722,0.0036335139410437,1.000782094344256,1.0010874189115757
2006-05-03,20.512144088745117,19.688617477416994,-0.3681037962400871,neutral,1.0,neutral,False,0.6,-0.0011628834530793,-0.0019910491413757,0.999618301406605,0.9990942046657098
2006-05-04,20.575389862060547,19.695125226974486,-0.3304321495701934,neutral,1.0,neutral,False,0.6,0.0018817459062145,0.0030833331241142,1.001499329053054,1.002174744921066
2006-05-05,20.73533821105957,19.70221158981323,-0.1199860112371904,neutral,1.0,neutral,False,0.6,0.0046960080478147,0.0077737700267812,1.0062023779621685,1.0099654209147306
2006-05-08,20.76138687133789,19.70992569923401,-0.1316750776703831,neutral,1.0,neutral,False,0.6,0.0007854928965381,0.0012562447746535,1.0069927427825378,1.0112341846973356
2006-05-09,20.71302795410156,19.717563858032225,-0.1544638796343752,neutral,1.0,neutral,False,0.6,-0.0013658171715992,-0.0023292720055754,1.0056173748027697,1.0088787452198391
2006-05-10,20.66838264465332,19.724923486709596,-0.1328265431697429,neutral,1.0,neutral,False,0.6,-0.0012615069744442,-0.0021554216769837,1.0043487814708336,1.0067041861029442
2006-05-11,20.452621459960938,19.7312043094635,0.0328078069548543,neutral,0.988,neutral,False,0.6,-0.0062317682954825,-0.010439190545381,0.9980899125768572,0.9961950092813828
2006-05-12,20.270347595214844,19.736113166809083,0.0864533247156218,bear,1.0,neutral,False,0.6,-0.0053154569691872,-0.0089120050015555,0.9927846085951748,0.9873169143761424
2006-05-15,20.314987182617188,19.740563402175905,0.1041574158753374,bear,1.0,bear,False,0.6,0.0013530727783938,0.0022022112444131,0.9941279184238736,0.9894911947867808
2006-05-16,20.270347595214844,19.74519585609436,0.0644729896394828,bear,1.0,bear,False,0.0,1.9365079365079363e-05,-0.0021973721667193,0.9941471697899128,0.9873169143761424
2006-05-17,19.97646141052246,19.74826669692993,0.2371767570407306,bear,1.0,bear,False,0.0,7.936507936507937e-05,-0.0144983298047518,0.994226070358944,0.9730024681297073
2006-05-18,19.85370445251465,19.750281505584717,0.2117996911084949,bear,1.0,bear,False,0.0,7.936507936507937e-05,-0.0061450802264284,0.9943049771899248,0.9670232899025372
2006-05-19,19.9206600189209,19.75242846488953,0.0922955884982253,bear,1.0,bear,False,0.0,7.936507936507937e-05,0.0033724470194664,0.9943838902833526,0.9702845247143236
2006-05-22,19.86858367919922,19.75484943389893,0.0456801208178739,bear,1.0,bear,False,0.0,7.936507936507937e-05,-0.0026141874652856,0.9944628096397244,0.9677480190720548
2006-05-23,19.80533790588379,19.757820167541503,0.0400046061431868,bear,1.0,bear,False,0.0,7.936507936507937e-05,-0.0031832049197166,0.994541735259537,0.9646674788166988
2006-05-24,19.894624710083008,19.76162428855896,0.1631984102049601,bear,1.0,bear,False,0.0,7.936507936507937e-05,0.0045082191792695,0.994620667143288,0.9690164112463178
2006-05-25,20.054588317871097,19.765785999298096,0.2456932080545161,bear,1.0,bear,False,0.0,7.936507936507937e-05,0.0080405441228057,0.994699605291474,0.9768078304566666
