,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,HitRate
train_bh,0.15776692529250513,0.1803450183490173,0.7923129704890967,0.9402578100373156,-0.37227099822402987,0.42379590686664825,0.553532726484612
train_overlay,0.09505359783774114,0.10024625141509419,0.756693187700157,0.9093475835214827,-0.1118480956781861,0.8498454735539998,0.6064152579107065
test_bh,0.14304148472574818,0.1632540235419054,0.7781176739516903,1.1523115430974866,-0.22210362509565473,0.6440303919584547,0.5285198555956678
test_overlay,0.06876448114479183,0.09886697075303917,0.5199006781830949,0.7078620352329315,-0.14432129366016844,0.47646802076698885,0.5978339350180505
wf_bh,0.15185674791039916,0.1740892416660459,0.784775189303921,0.9956176696555286,-0.37227099822402987,0.40791989876958645,0.5440021662604928
wf_overlay,0.040659481596230895,0.08398447176198516,0.27851318792464075,0.29963228328061786,-0.17379647287943922,0.23394883062118269,0.6945572705117791
